pitch,interval,label,rolling_avg_pitch,rolling_std_pitch,rolling_avg_interval,rolling_std_interval
77,28,1,65.4,15.46932448428178,0.4,27.799280566230486
82,5,1,72.2,13.217412757419666,6.8,23.220680437919988
51,-31,1,67.4,16.00937225502611,-4.8,25.023988491045944
81,30,1,68.0,16.552945357246845,0.6,29.61925049693189
79,-2,1,74.0,13.00000000000001,6.0,24.969981978367546
53,-26,1,69.2,15.754364474646382,-4.8,24.752777621915484
77,24,1,68.2,14.872793954062562,-1.0,27.892651361962706
75,-2,1,73.0,11.401754250991388,4.8,22.609732417700126
41,-34,1,65.0,17.029386365926392,-8.0,22.891046284519195
73,32,1,63.8,15.974980438172675,-1.2,29.277978072264485
41,-32,1,61.4,18.676188047885987,-2.4,30.639843341636066
73,32,1,60.6,17.91089054179047,-0.8,32.51461209979292
72,-1,1,60.0,17.34935157289745,-0.6,32.50846043724618
46,-26,1,61.0,16.077935190813506,1.0,30.59411708155671
73,27,1,61.0,16.077935190813506,0.0,29.385370509830224
49,-24,1,62.6,13.831124321616066,1.6,27.355072655725117
48,-1,1,57.6,13.649175799292756,-5.0,21.552262062252304
69,21,1,57.0,12.903487900563901,-0.6,24.602845363900492
51,-18,1,58.0,11.999999999999963,1.0,22.726636354727024
49,-2,1,53.2,8.899438184514723,-4.8,17.541379649275026
70,21,1,57.4,11.104053313993006,4.2,16.754103974847478
53,-17,1,58.4,10.237187113655741,1.0,19.32614809008769
51,-2,1,54.8,8.613942186943145,-3.6,15.78923684032892
78,27,1,60.2,12.988456413292509,5.4,18.17415747703315
54,-24,1,61.2,12.0706255016051,1.0,22.54994456755936
78,24,1,62.8,13.917614738165428,1.6,23.244354153213205
57,-21,1,63.6,13.315404612703274,0.8,24.09771773425857
75,18,1,68.4,11.886967653695372,4.8,25.153528579505497
55,-20,1,63.8,11.691877522451202,-4.6,23.51169921549695
53,-2,1,63.6,11.90798051728334,-0.2,20.885401600160815
40,-13,1,56.0,12.529964086141627,-7.6,16.195678435928514
79,39,1,60.4,16.272676485446375,4.4,24.08941676338387
73,-6,1,60.0,15.84297951775484,-0.4,23.071627597549327
52,-21,1,59.4,16.133815419794516,-0.6,23.287335614019902
72,20,1,63.2,16.48332490731162,3.8,24.97398646592089
70,-2,1,69.2,10.18331969448078,6.0,23.56904749878535
54,-16,1,64.2,10.30533842239058,-5.0,15.905973720586863
82,28,1,66.0,12.727922061357846,1.8,21.614809737770074
70,-12,1,69.6,10.039920318408916,3.6,19.51409746824075
54,-16,1,66.0,11.999999999999991,-3.6,18.568791021496256
42,-12,1,60.4,15.64608577248633,-5.6,18.88915032498815
72,30,1,64.0,15.87450786638753,3.6,23.25510696599781
41,-31,1,55.8,14.805404418657353,-8.2,22.74203157151972
73,32,1,56.4,15.565988564816523,0.6,28.64960732715197
39,-34,1,53.4,17.47283606058268,-3.0,32.17141588429082
72,33,1,59.4,17.728508115461917,6.0,35.17811819867572
37,-35,1,52.4,18.406520583749614,-7.0,36.09016486523718
37,0,1,51.6,19.09973821810127,-0.8,33.50671574475779
53,16,1,47.6,15.192103211866279,-4.0,30.191058278901053
61,8,1,52.0,15.264337522473689,4.4,25.185313180502636
41,-20,1,45.8,10.733126291998875,-6.2,20.933227175951625
60,19,1,50.4,10.945318634009611,4.6,15.614096195425457
46,-14,1,52.2,8.70057469366238,1.8,17.753872816937708
58,12,1,53.2,9.093954035511635,1.0,17.029386365926392
61,3,1,53.2,9.093954035511635,0.0,16.658331248957673
46,-15,1,54.2,7.563068160475513,1.0,15.247950681976898
61,15,1,54.4,7.765307463326773,0.2,14.13152504155159
65,4,1,58.2,7.259476565152539,3.8,11.691877522451204
69,4,1,60.4,8.706319543871517,2.2,10.802777420645105
69,0,1,62.0,9.539392014169422,1.6,10.830512453249833
70,1,1,66.8,3.7682887362833384,4.8,5.974947698515838
48,-22,1,64.2,9.257429448826473,-2.6,10.990905331227255
70,22,1,65.2,9.628083921528711,1.0,15.652475842498518
51,-19,1,61.6,11.104053313993017,-3.6,17.78482499211054
50,-1,1,57.8,11.189280584559441,-3.8,17.739785793520724
54,4,1,54.6,8.876936408468774,-3.2,17.991664736760736
83,29,1,61.6,14.432601983010525,7.0,19.091883092036777
53,-30,1,58.2,13.953494186045262,-3.4,22.700220263248543
51,-2,1,58.2,13.953494186045262,0.0,20.988091861815352
51,0,1,58.4,13.813037319865568,0.2,20.980943734732232
78,27,1,63.2,15.912259424732854,4.8,24.283739415501884
77,-1,1,62.0,14.177446878757802,-1.2,20.166804407243102
54,-23,1,62.2,14.02497771834235,0.2,17.76794867169533
75,21,1,67.0,13.322912594474225,4.8,19.904773296875295
74,-1,1,71.6,9.964938534682512,4.6,19.96997746618658
60,-14,1,68.0,10.319883720275149,-3.6,16.60722734233502
75,15,1,67.6,9.91463564635635,-0.4,18.64939677308625
78,3,1,72.4,7.0922492905988985,4.8,13.754999091239513
53,-25,1,68.0,10.885770528538625,-4.4,15.48547706723948
68,15,1,66.8,10.377861051295683,-1.2,17.83816134022786
78,10,1,70.4,10.549881515922365,3.6,16.72722332008513
54,-24,1,66.2,12.296340919151515,-4.2,19.018412131405707
75,21,1,65.6,11.631852818876268,-0.6,22.165288177689003
78,3,1,70.6,10.139033484509273,5.0,17.507141400011594
63,-15,1,69.6,10.691117808723284,-1.0,18.343936327844137
70,7,1,68.0,9.66953980290686,-1.6,17.938784797192923
63,-7,1,69.8,6.833739825307966,1.8,13.754999091239515
70,7,1,68.8,6.220932405998324,-1.0,9.695359714832652
78,8,1,68.8,6.220932405998324,0.0,10.440306508910545
