note_minus_2,note_minus_1,current_note,avg_interval
20,21,20,0.0
21,20,21,0.0
20,21,20,0.0
21,20,18,-1.5
20,18,20,0.0
18,20,21,1.5
20,21,20,0.0
21,20,22,0.5
20,22,21,0.5
22,21,20,-1.0
21,20,18,-1.5
20,18,17,-1.5
18,17,18,0.0
17,18,20,1.5
18,20,18,0.0
20,18,20,0.0
18,20,18,0.0
20,18,17,-1.5
18,17,18,0.0
17,18,20,1.5
18,20,18,0.0
20,18,17,-1.5
18,17,13,-2.5
17,13,8,-4.5
13,8,13,0.0
8,13,17,4.5
13,17,20,3.5
17,20,17,0.0
20,17,13,-3.5
17,13,8,-4.5
13,8,13,0.0
8,13,17,4.5
13,17,20,3.5
17,20,18,0.5
20,18,13,-3.5
18,13,9,-4.5
13,9,13,0.0
9,13,18,4.5
13,18,21,4.0
18,21,18,0.0
21,18,15,-3.0
18,15,12,-3.0
15,12,15,0.0
12,15,18,3.0
15,18,21,3.0
18,21,20,1.0
21,20,17,-2.0
20,17,13,-3.5
17,13,17,0.0
13,17,20,3.5
17,20,25,4.0
20,25,20,0.0
25,20,17,-4.0
20,17,13,-3.5
17,13,17,0.0
13,17,20,3.5
17,20,25,4.0
20,25,21,0.5
25,21,18,-3.5
21,18,13,-4.0
18,13,18,0.0
13,18,21,4.0
18,21,25,3.5
21,25,21,0.0
25,21,18,-3.5
21,18,15,-3.0
18,15,18,0.0
15,18,21,3.0
18,21,24,3.0
21,24,25,2.0
24,25,20,-2.0
25,20,17,-4.0
20,17,20,0.0
17,20,25,4.0
20,25,29,4.5
25,29,32,3.5
29,32,29,0.0
32,29,35,1.5
29,35,32,1.5
35,32,30,-2.5
32,30,29,-1.5
30,29,37,3.5
29,37,35,3.0
37,35,34,-1.5
35,34,32,-1.5
34,32,30,-2.0
32,30,29,-1.5
30,29,30,0.0
29,30,27,-1.0
30,27,24,-3.0
27,24,20,-3.5
24,20,18,-3.0
20,18,15,-2.5
18,15,20,1.0
15,20,17,1.0
20,17,13,-3.5
17,13,12,-2.5
13,12,11,-1.0
12,11,10,-1.0
11,10,13,1.0
10,13,16,3.0
13,16,28,7.5
16,28,25,4.5
28,25,22,-3.0
25,22,19,-3.0
22,19,15,-3.5
19,15,20,0.5
15,20,15,0.0
20,15,22,1.0
15,22,15,0.0
22,15,23,0.5
15,23,17,1.0
23,17,13,-5.0
17,13,17,0.0
13,17,11,-1.0
17,11,17,0.0
11,17,10,-0.5
17,10,13,-2.0
10,13,18,4.0
13,18,22,4.5
18,22,18,0.0
22,18,13,-4.5
18,13,10,-4.0
13,10,8,-2.5
10,8,13,1.5
8,13,18,5.0
13,18,13,0.0
18,13,17,-0.5
13,17,18,2.5
17,18,15,-1.0
18,15,13,-2.5
15,13,12,-1.5
13,12,17,2.0
12,17,15,1.5
17,15,20,1.5
15,20,22,3.5
20,22,20,0.0
22,20,18,-2.0
20,18,29,4.5
18,29,32,7.0
29,32,34,2.5
32,34,32,0.0
34,32,30,-2.0
32,30,25,-3.5
30,25,23,-3.5
25,23,20,-2.5
23,20,15,-4.0
20,15,18,-1.0
15,18,17,1.0
18,17,13,-2.5
17,13,12,-2.5
13,12,13,0.0
12,13,15,1.5
13,15,13,0.0
15,13,17,1.0
13,17,22,4.5
17,22,17,0.0
22,17,18,-2.0
17,18,20,1.5
18,20,22,2.0
20,22,23,1.5
22,23,25,1.5
23,25,24,0.5
25,24,25,0.0
24,25,27,1.5
25,27,28,1.5
27,28,29,1.0
28,29,30,1.0
29,30,29,0.0
30,29,30,0.0
29,30,32,1.5
30,32,34,2.0
32,34,35,1.5
34,35,37,1.5
35,37,36,0.5
37,36,37,0.0
36,37,39,1.5
37,39,40,1.5
39,40,41,1.0
40,41,42,1.0
41,42,37,-2.0
42,37,34,-4.0
37,34,32,-2.5
34,32,34,0.0
32,34,30,-1.0
34,30,37,1.5
30,37,34,2.0
37,34,30,-3.5
34,30,29,-2.5
30,29,30,0.0
29,30,25,-2.0
